id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
796231143904004713,Mads Mansion - Room 4,493882819,Terra,,NINTH WARD,42.65582,-73.77541,Private room,,1,12,2024-12-01,0.52,6,173,4,
797455132224782470,Alb Medical/colleges/Dtwn Albany Room O,89705052,Share,,TENTH WARD,42.65741,-73.78034,Private room,56,2,14,2024-09-30,0.49,2,111,3,
802216634798169031,Mads Mansion - Room 6,493882819,Terra,,SIXTH WARD,42.65751,-73.77409,Private room,163,1,6,2024-10-13,0.27,6,178,1,
803604897479679272,3br/2ba Near Alb Med & St.Petes.,21886921,David,,FOURTEENTH WARD,42.66691,-73.79338,Entire home/apt,125,14,3,2024-11-09,0.12,2,330,2,
803682039097862541,Modern and Cozy Pine Hills Home from Early 1900s,265709295,Richard And Priscela,,THIRTEENTH WARD,42.6702921,-73.7907283,Entire home/apt,146,1,20,2025-05-20,1.35,2,308,14,
803814397190632412,Mads Mansion - Room 5,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,132,1,6,2024-10-11,0.26,6,177,2,
803867986023966300,Mads Mansion - Room 1,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,128,1,9,2024-10-29,0.39,6,174,2,
809524698302742033,Two bedroom apartment near hospitals pet friendly,172658781,Jessica,,NINTH WARD,42.65613971519499,-73.79212237894535,Entire home/apt,86,30,1,2025-05-04,0.81,2,109,1,
813640070361665090,The front room w/ TV and king size bed,116935236,Felicisimo,,THIRTEENTH WARD,42.67144,-73.79033,Private room,45,7,17,2025-06-07,0.75,5,356,7,
816085193659797849,Cozy Apartment across the Park,37769478,Erion,,SIXTH WARD,42.65258,-73.76917,Entire home/apt,92,1,40,2025-05-13,1.41,11,348,10,
821566342267452838,COMFY Room/w Private BATH + TV,177073982,Cristian,,FOURTEENTH WARD,42.66109,-73.80479,Private room,52,2,3,2023-11-30,0.11,2,250,0,
